교과목 이름,학년,이수구분,설강학과,선수강 과목,연결과목,교과목개요
K-POP한국어,,교양선택,ERICA 대학,,,"본 강좌는 K-POP을 통해 듣기∙말하기∙쓰기 능력을 향상시킬 뿐만 아니라, 한국문화까지 접하고 이해하는 것을 목적으로 한다. 살아있는 언어로 이루어진 K-POP의 가사를 이해하기 위해서는 오늘날의 한국 문화에 대한 이해가 선행되어야 한다. K-POP을 듣고 부르며 한국 문화의 토대 위에서 살아 숨 쉬는 한국어를 접할 수 있다."
MR&미디어,2.0,전공핵심,디자인테크놀로지전공,,,"혼합현실(Mixed Reality, MR)은 오늘날 여러산업에 다양한 형태로 적용되고 있다. 이러한 기술은 3D 컴퓨터그래픽스, 실시간 렌더링 및 인터랙션 시스템을 기반으로 하여 사용자 중심의 콘텐츠 경험을 가능하게 한다. 본 수업에서는 혼합현실 제작에 앞서 선행 학습되어야할 게임엔진 유니티의 기초 활용법을 탐구하며, 콘텐츠 기획에서 부터 제작 과정 전반을 경험하는 것을 목표로 한다.  "
PT지도론,3.0,전공심화,스포츠코칭전공,,,"PT(personal training) 지도론은 스포츠전공자로서 웨이트 트레이닝 및 유산소 트레이닝 지도방법과 기구사용 기술을 습득해 전문 트레이너 발판구축을 위해 개설된 강좌이다. 학습자는 트레이닝 이론을 바탕으로 신체구성 및 체력을 측정-평가-처방-지도와 영양섭취를 이해하여 연령, 체력수준, 체형별 트레이닝을 시현할 수 있는 능력을 배양하는데 목적이 있다. 또한 대상자별 PT 지도 프로그램을 기획하고 시현함으로써 현장경험을 간접적으로 체험해 볼 수 있는 강좌이다.  "
ResidentialCollege리더십특강,,교양선택,ERICA 대학,,,
SDGs와ESG로보는지역사회,,교양선택,ERICA 대학,,,"2015년 UN에서 발표한 지속가능발전목표 SDGs와 글로벌 경영 트랜드인 ESG를 이해하고, 그 관점에서 지역사회(안산시)의 현안을 살펴본다.

*지속가능발전목표(SDGs)는 '지속가능한 지구의 발전'을 위한 국제적인 약속으로 '지속가능한 경제성장, 포용적 사회 및 기후환경위기 극복'을 추구함으로써 현재 세대는 물론 미래 세대가 보다 나은 삶을 누실 수 있도록  하고자 함.
* ESG는 지속가능한 지구를 위해 기업이 비재무적인 요소인 Environment(환경), Social(사회), Governance(지배구조) 요소를 함께 고려해야 함을 강조하고 있으며, 전 세계적으로 기업간, 기업내 ESG의 중요성이 높아지고 있음. "
SW창업캡스톤디자인,2.0,전공핵심,컴퓨터학부,,,"본 과목에서는 SW공학도를 위한 기업가정신과 창업을 다룬다. SW기반 비즈니스의 이해와 더불어 창업에서 필요한 경영적 지식을 함양한다. 창업에 필요한 기본적인 개념을 숙지하고, 아이디어의 개발에서부터 사업계획서 작성까지의 과정을 이해한다. 세부적인 내용으로는 창업프로세스 이해, 창업팀 구성, 아이디어 개발, 시장조사와 선행기술조사, 비즈니스 모델 설계, 사업계획서 작성 등이다."
SW창업캡스톤디자인2,3.0,전공핵심,컴퓨터학부,,,"본 과목에서는  SW기반의 창업과 기업가정신을 다룬다. 
창업에 필요한 기본적인 개념을 숙지하고, 아이디어의 수집에서 비즈니스모델링 및 예상 구현모델까지의 과정을 이해한다. 
또한, 제품 및 서비스의 구현을 통해 실제 창업에 이르는 경험을 체득하도록 한다. 
세부적인 내용으로는 창업프로세스, 창업팀 구성, 아이디어 개발, 시장 및 기술조사, 비즈니스 모델 설계, 사업계획서 작성, 제품/서비스 개발 등이다."
TED_Talks_영어,,교양선택,ERICA 대학,,,"TED Talks can help students make connections, develop their critical thinking, and gain global perspectives on various topics. The talks serve as a launching point for engaging in rich discourse and debate, as well as for students to deliver their own short 3-minute TED-style talks, applying techniques learned throughout the course.

The TED Talks will be interesting and stimulating for students, assisting in the development of their ideas and providing the language skills needed to express themselves effectively. TED is a nonprofit organization that stands for Technology, Entertainment, and Design. TED Talks are videos from influential global thinkers presenting at TED conferences. They offer a wide variety of informative, educational, and inspiring talks on new ideas, covering topics from science to business to global issues. TED Talks are 18 minutes or less and are relevant to a broad international audience.
"
UI/UX디자인,2.0,전공핵심,문화콘텐츠학과,,,"특정한 목적을 달성하기 위해 ‘서비스’를 구매하는 사람들을 ‘사용자’라고 부른다. 이 서비스들은 이전의 시대와 다르게 스크린 상의 인터페이스를 통해 사용자에게 전달되고, 사용자들은 이 가상의 인터페이스를 조작하여 그들의 필요를 채운다. 물건을 구매하는 것보다 서비스를 구매하는 것에 더 익숙해진 사람들은 ‘기능’그 자체를 넘어서 총체적 ‘경험’을 판단하고 만족 여부를 결정짓는다. 이 과목은 사용자들에게 만족스러운 경험을 전달하기 위한 다양한 방법론을 학습하고 실습을 통해 익히는 것을 목적으로 한다. 
* 학생들의 선행 학습 수준과 진도에 따라 수업의 커리큘럼은 변동될 수 있음."
UX·UI디자인1,3.0,전공심화,커뮤니케이션디자인학과,,,"1. UX/UI 디자인 프로세스를 수행해보며 사용자 경험 디자인에 대한 이해를 다지며, 다양한 디바이스를 대상으로 한 app및 서비스를 만들어 개선점을 바탕으로 새로운 경험을 설계 해 볼 수 있도록 한다.


2. 실무와 근접한 수준의 프로젝트를 개별 또는 팀으로 수행함으로써 학생들이 직접 실무에서 경험할 수 있는 프로세스를 간접경험 할 수 있다. [통합 개요] 이 과목은 사용자 경험(UX)과 사용자 인터페이스(UI) 디자인의 기본 원리와 실무 기술을 소개한다. 
학생들은 사용자 중심 디자인의 개념을 이해하고, 효과적인 인터페이스 디자인을 위한 다양한 방법과 도구를 학습한다. 
과목은 이론 강의와 실습, 프로젝트 작업을 통합한 형태로 진행되며, 학생들은 실제 사용자의 요구사항을 분석하고, 이를 기반으로 한 UX/UI 디자인 프로젝트를 수행한다."
UX디자인,4.0,전공심화,산업디자인학과,,,"일상 생활 속 유무형의 상품(제품, 서비스 등)과 시스템을 사용하며 발생하는 미충족 요구사항, 문제사항, 또는 만족사항 등을 

조사/분석하고 이를 토대로 더 나은 세상(상품, 서비스 등)을 위한 디자인적 해결방안을 도출하는 프로젝트 기반의 수업이다. 

이를 위해 디자인적 접근, 사용자 경험, 사용성, 등 관련 개념과 함께 사람들의 다양한 의견과 관점을 연결해 인사이트를 도출할 수 있는 

방법론을 이해하고 적용의 기회를 제공한다. 또한 이 같은 문제분석을 통해 발굴/발견된 문제에 대한 디자인적 해결의 전체 프로세스를 경험한다.

참고:

이번 학기의 경우, 안산시의 외국인지원본부- 외국인주민행정과 다문화특구지원팀과의 협업으로 진행함에 따라,

안산시의 해당 부서가 당면한 문제를 UX디자인 방법론을 도입해, 문제를 정의하고, 해결안을 도출하는데 목표를 둔다."
VR과3D프린팅,3.0,전공심화,건축IT융합전공,,,"본 교과목은 디지털 디자인의 심화 능력을 향상하기 위해 4차 산업혁명의 핵심 기술인 VR, 3D프린팅 기술에 대한 이론 및 실무개발 실습 경험을 전달한다.
해당 기술에 대한 기초 이론과 사례, 관련 SW를 이용한 실습을 통해 건설/설계 협업에 활용할 수 있는 기술 습득을 수행한다."
가방디자인1,2.0,전공핵심,주얼리·패션디자인학과,,,가방 디자인의 기본 지식 학습 및 디자인 실습을 통한 가방산업의 기초 실무과정 등 이해.
가방디자인3,3.0,전공핵심,주얼리·패션디자인학과,,," 가방 디자인은 예술과 실용의 결합으로, 창의적인 감성과 통합 적인 실무 능력이 필요한 분야이다.
 가방을 만드는 실습을 통하여 가방의 구조를 이해하고  디자인 진행 과정을 학습한다."
가상및증강현실프로그래밍,4.0,전공심화,지능형로봇학과,컴퓨터그래픽스,,"본 과목에서는 가상현실 및 가상환경 구현을 위한 이론과 프로그래밍 기법을 학습하고, 팀 프로젝트를 통해 이를 체득하도록 한다. 이를 위하여 세부적으로는 3D 그래픽스, 공간 음향, 햅틱 인터랙션, 센서의 활용에 대하여 다룬다. 팀 프로젝트에서는 IC-PBL, 즉 현실 세계의 문제 해결을 위한 주제 선정 및 해결 과정에 본 과목에서 배운 내용을 활용하도록 한다.
-중요사항-
1. 프로그래밍 관련 사전 지식 필수. 최소 1) 컴퓨터그래픽스 또는 게임프로그래밍언어(ICT의 경우) 수강, 또는 2) Unity/Unreal 개발 경험 필요.
2. 개강 첫 수업부터 동시에 프로젝트 팀 구성 시작 예정. 수강정정은 개강 전 신청한 사전 승인 인원만 인정. 정정 요청 메일을 반드시 보내야 함.
3. 2주차에 팀 구성 완료 예정으로 첫 주(OT) 출석 필수. 첫 주 무단 결석인원(정정인원 포함)이 팀 구성을 못 할 경우 Free rider로 간주, F 부여.
"
가상인터페이스디자인,3.0,전공심화,디자인테크놀로지전공,,,"현실 공간을 기반으로 다양한 시각정보를 증강하는 AR기술은 사물과 환경에 대한 인식을 새롭게 확장한다. 이는 게임, 엔터테인먼트와 같은 콘텐츠 산업 뿐만 아니라 건축, 제조, 생산 현장에서도 다양하게 활용되어 물리적 환경과 디지털적 대상을 매개하는 방식으로 활용된다. 본 수업에서는 이러한 증강현실 개발에 필요한 기능들을 유니티 게임엔진을 중심으로 실습하며, 가상환경의 매체적 특징을 반영한 인터페이스를 구현하여 하나의 완결된 사용자 경험을 구축하는 것을 목표로 한다. 
"
가상현실게임프로그래밍,3.0,전공심화,스마트ICT융합전공,,,"이 수업은 영어강좌입니다.수업은 이론에 대한 강의와 더불어 학생들이 최신 논문을 읽고 발표 및 보고서를 제출하는 내용으로 구성됩니다. 관련 연구 영어 논문을 스스로 찾아서 읽고 내용을 요약 정리한 보고서를 학기말에 제출해야 하며, 다른 학생들에게 발표하는 학기 과제를 수행해야 합니다.
-@ 이 수업은 SMART-F 수업이래서, 수업의 반은 동영상 녹화로 제공됩니다.
- 기말고사 및 팀 프로젝트를 모두 다 제출해야 하며, 하나라도 미제출시는 F 학점을 받습니다.


- 가상현실게임프로그래밍 과목은 가상현실 시스템 상에서의 사용자 인터페이스와 사용자 경험에 대해 배우는 과목입니다. 가상 현실 시스템 상의 다양한 하드웨어 장비와 소프트웨어 툴 등을 다루며, 가상 현실상에서의 다양한 사용자 인터랙션에 관련된 인간공학적 및 심리학적 측면을 공부합니다. 가상현실상에서의 유저인터페이스를 평가하는 방법에 대해서도 익히게 됩니다. 가상현실상의 상호작용을 지원하기 위한 적절한 입력과 출력 디바이스에 대해 배움으로써, 공통적인 가상현실 상호작용 기술과 실생활에 적용되고 있는 가상현실 인터페이스에 대해 익히게 됩니다."
가상확장현실의이해,,교양선택,ERICA 대학,,,"디지털시대와 메타버스 시대의 개념을 파악하고 가상현실, 증강현실, 혼합현실, 확장현실의 개념을 익힌다. 다양한 사례를 바탕으로 개념 파악을 쉽게 할 수 있도록 진행하며, 언택트 시대 이슈로 인해 주목되고 있는 메타버스의 개념, 홀로그램, 사람과의 상호작용을 체득한다. 또한 요즘 주목되고 있는 가상현실보다 진보된 개념인 메타버스 체험을 통해서 학습한 내용을 확립해 나간다."
가치관과정의,,교양선택,ERICA 대학,,,"가치관과 정의 문제는 현재 동, 서양의 학문 분류상 철학의 주제로 주요 다뤄진다. 이에 학생들은 철학에 대한 기본 정의를 배운 다음, 고대부터 지금까지 인간 사회에서 널리 수용된 여러 가치관들에는 어떤 것이 있는지 공부한다. 학기 초반에는 서양 고대의 도시국가인 ‘폴리스 안에서의 인간’이라는 공동체 중심적 가치관부터 중세 시대의 신-중심적 가치관, 근대의 개인주의-민주주의 가치관, 자본주의적 세속사회와 오늘날의 후기-세속사회의 가치관과 한 가지 대안적 삶으로서의 예술적-미학적 삶이 무엇인지 배우고, 이와 더불어 동아시아에서 주로 형성된 유교적 인(仁)과 도가적 도(道)의 가치관 및 불교의 공(空)의 가치관이 무엇인지 습득한다. 학기 후반에는 이런 다양한 가치관들을 기반으로 삼아 형성된 윤리적-사회적 정의관들에 대해 공부한다. 공리주의, 자유주의, 의무주의, 공동체주의, 사회주의 정의관 등을 배운다. 마지막으로 이런 가치관과 정의론에 대한 이해를 기반으로 삼아 오늘날의 4차 산업혁명시대를 살아가는 바람직한 태도에 대해서도 간략하게 반성해본다."
감성UI/UX,3.0,전공심화,디자인공학전공,"공학과심리, 인간공학과실습 수업을 수강하셨으면 좋습니다. 하지만 필수는 아닙니다.",,"본 수업에서는 UIUX디자인의 이론과 적용에 대해 이해하는 것을 목표로 한다.
이를 위해 감성을 포함한 UIUX디자인 관점에서 제품, 시스템, 서비스에 대한 설계 및 평가과정을 학습한다."
감성미학,2.0,전공핵심,디자인테크놀로지전공,,,"본 수업은 디자인에 관심 있거나, 디자인적인 소양을 배양하고 싶은 공학도들과 미학에 관심 있는 디자인 전공 학생들을 위한 과목이다.
서양미학사의 기초지식과 함께 예술적 소양을 배양하기 위해 한 학기 내내 다양한 프로그램을 경험하게 된다. 특히 디자인공학을 전공하고 있거나 전공하려는 1, 2학년 학생들은 반드시 들어야 할 과목이다. 디자인공학을 3학년 때 시작한 경우에도 반드시 수강하실 것."
감성품은로봇이야기,,교양선택,ERICA 대학,,,"본 교과목은 지능형로봇 마이크로(초급)과정을 이수할 수 있는 과목으로  4차 산업시대의 로봇분야를 이해하고 활용하는 교과목으로 설계되었다.
로봇을 이해하고 활용하는데 있어서 인문학적 사고와 감성을 함양할 수 있는 수업으로 기술과 예술의 융합교과이다.
사회 문제(비대면, 기후변화, 1인 가구 등)와 시대 키워드(로봇, 4차 산업혁명, IoT, AI) 등 실생활과 밀접한 분야의 문제를 탐색하며, 공감과 소통을 기반으로 한 디자인씽킹의 프로세스를 이해하며 다양한 사례를 통한 공학과 감성의 로봇이야기를 접해보도록 한다.
"
감염질환제어,3.0,전공심화,약학과,"약품미생물학1, 약품미생물학2",,"감염질환에 대응하기 위한 항미생물제, 백신, 감염질환 진단 방법에 대해 학습한다.
약품미생물학에서 학습한 병원성미생물들과 이들이 원인이 되는 감염질환을 진단, 치료, 예방할 수 있는 방법을 학습하고
이들의 개발동향에 대해서도 학습한다."
객체지향개발론,3.0,전공심화,컴퓨터학부,"자료구조론, 프로그램설계방법론",,"본 과목에서는 Unified Modeling Language (UML)와 객체지향 소프트웨어 개발 방법론을 공부한다. 객체지향의 기본 개념(객체, 클래스, 상속, 다형성 등)을 먼저 소개하고, 이를 바탕으로 UML을 이용한 객체지향 분석과 설계 방법을 공부한다. 이 과목에서는 객체지향 패러다임을 통하여 복잡한 계산 문제의 해결 방안을 강구하고, 재사용이 가능한 설계 패턴을 파악하고 습득하며, JAVA와 C++등의 언어를 이용하여 고품질 프로그램의 작성 능력을 배양함을 목표로 한다.본 과목에서는 Unified Modeling Language (UML)와 객체지향 소프트웨어 개발 방법론을 공부한다. 객체지향의 기본 개념(객체, 클래스, 상속, 다형성 등)을 먼저 소개하고, 이를 바탕으로 UML을 이용한 객체지향 분석과 설계 방법을 공부한다. 이 과목에서는 객체지향 패러다임을 통하여 복잡한 계산 문제의 해결 방안을 강구하고, 재사용이 가능한 설계 패턴을 파악하고 습득하며, JAVA와 C++등의 언어를 이용하여 고품질 프로그램의 작성 능력을 배양함을 목표로 한다."
거시경제학1,2.0,전공핵심,경제학부,,,"경제학부 2학년을 대상으로 하는 전공 핵심과목으로서 거시경제학의 주요 이론모형들을 다룬다.  [통합 개요] 본 과목은 국민경제의 구조와 활동을 분석하고 이에 영향을 미칠 수 있는 경제정책에 대해 연구 분석한다. 즉, 국민경제의 움직임을 나타내는 총량변수인 국민소득, 고용, 물가, 임금, 이자율, 국제수지, 환율 등이 어떻게 결정되고 이들을 어떻게 조절할 수 있는지의 문제를 주로 취급한다. 특히 재정·금융 등 정부의 경제정책이 어떠한 경로를 거쳐 이들 총량변수에 영향을 주며 국민경제의 최대 문제인 경제성장, 물가안정, 실업해소 등에 대한 원인규명 및 대책을 분석한다."
건강관리를위한식이조절과운동,,교양선택,ERICA 대학,,,"지난 5년 동안 우리나라 비만 인구비율은 해마다 3%씩 증가하여 이제는 성인 서너 사람 중에 한 사람은 비만이 되었고, 코로나19 이후 과체중 및 비만 학생 비율은 급속히 더 늘어나고 있다. 특히, 20대 여성 고혈압은 61.8% 증가했으며 20대 남성 고혈압은 40.5% 상승한 것으로 나타나 식이조절과 운동의 필요성이 제기되고 건강관리가 중요한 사회적 이슈가 되고 있다.
본 수업은 SDGs의 17개 목표 중‘건강과 웰빙’의 건강한 삶과 웰빙의 장려 차원에서 건강관리를 주 목적으로 진행되는 교양수업이다. 구체적으로 과체중 및 저체중 학생을 대상으로 건강한 신체를 유지하기 위한 방법을 모색하고 올바른 식이조절과 운동방법을 통해 대학생의 삶의 질을 높일 수 있을 것을 기대한다. "
건강체력평가,3.0,전공심화,스포츠코칭전공,,,"학생들은 신체 활동과 건강의 관계, 만성 질환에 대한 이해, 운동 참여 전 건강 평가 및 사전 운동 검사의 중요성을 배웁니다. 또한, 다양한 건강 관련 체력 요소에 대한 평가 방법과 측정 결과를 해석하는 능력을 기르며, 노인 및 일반인을 위한 체력 검사와 체력 향상 프로그램을 계획하고 운영하는 방법을 학습한다."
건물시스템,4.0,전공핵심,건축학전공,"건축설계, 건축구조, 건축재료, 건축설비",,"건물시스템
이 수업은 학생들에게 건설 과정에 필수적으로 고려해야 하는 재료, 설비, 방재, 구조, 환경 시스템 등을 평가, 선정하여 설계에 이용할 수 있도록 하는 것이다. 구조 분야, 환경조절분야, 시공분야 등에 소속된 교과목들의 통합을 전제로 하기 때문에 기술 관련 교과과정의 최종 단계에서 제시된다."
건설공정관리론,4.0,전공심화,건축공학전공,,,"본 교과목에서는 건설 프로젝트 관리의 핵심인 공정계획, 일정계획수립 및 이행에 초점을 두고 있다. 또한 본 교과목 주요내용으로는 공정계획 프로세스, 일정계획 수립 및 관리에 초점을 두고 있다. 또한 실제 건설프로젝트에 이론을 적용함으로써, 공정관리 실무능력 배양에 목적을 두고 있다. "
건설재료실험,2.0,전공핵심,건설환경공학과,,,"이 강좌는 건설 재료의 시멘트, 골재, 철근, 섬유 강화 폴리머, 포졸라닉 재료 및 경화 와 경화 전 콘크리트의 평가에 관한 것을 알아본다. 기초적인 지식을 확립하기 위하여, 건설재료의 사용 및 실행 가능성을 공부함으로써 이러한 건설 재료가 건설 분야에 어떻게 적용되는지에 대해서 알아본다."
건설프로그래밍,3.0,전공핵심,건설환경공학과,,,"프로그래밍은 빅데이터, 기계학습 등 4차 산업이 도래한 현대 사회의 공학도에게 요구되는 필수 능력이다. 이번 수업에서는 프로그래밍의 기초와 활용에 대해 학습하고 건설환경공학인으로 프로그래밍을 활용하는 방법에 대해 학습한다."
건설환경공학과연구실심화실습1,3.0,전공심화,건설환경공학과,,,"대학원 연구실에서 이루어지고 있는 실제 연구활동에 참여함으로써 연구주제에 대해 심도 깊은 이해를 도우며, 연구역량을 높여 진로 설정에 도움을 준다. [통합 개요] 연구실심화실습1 수업은 본교 대학원생 지원을 목표로 하는 학부생에게 먼저 연구실 체험의 기회를 부여하는 것을 목적으로 한다. [통합 개요] 한양대학교 ERICA 환경화학연구실(Environmental Chemistry Laboratory; ECL)에서는 인간활동으로 인한 환경오염이 인체와 생태계에 미치는 영향을 과학적으로 평가하고, 이를 저감시키기 위한 기술을 연구하고 있다. 건설환경공학과연구실심화실습1에서는 환경화학연구실의 연구활동을 문헌연구 또는 실험실습을 통해 체험함으로써, 관련 분야에 대한 이해의 폭을 확장시키는 기회를 제공한다. 
"
건설환경공학과연구실심화실습3,4.0,전공심화,건설환경공학과,,,"대학원 연구실에서 이루어지고 있는 실제 연구활동에 참여함으로써 연구주제에 대해 심도 깊은 이해를 도우며, 연구역량을 높여 진로 설정에 도움을 준다. [통합 개요] 한양대학교 ERICA 환경화학연구실(Environmental Chemistry Laboratory; ECL)에서는 인간활동으로 인한 환경오염이 인체와 생태계에 미치는 영향을 과학적으로 평가하고, 이를 저감시키기 위한 기술을 연구하고 있다. 건설환경공학과연구실심화실습3에서는 환경화학연구실의 연구활동을 문헌연구 또는 실험실습을 통해 체험함으로써, 관련 분야에 대한 이해의 폭을 확장시키는 기회를 제공한다. "
건설환경공학입문설계,1.0,전공기초,건설환경공학과,,,"공학 및 건설환경공학이 무엇인지 이해하고 공학설계의 방법에 대해 학습한다. 
소집단을 구성하여 설계프로젝트를 진행하며, 프로젝트 진행을 통해 공학설계능력, 팀워크능력, 발표능력을 향상한다."
건설환경캡스톤디자인1,3.0,전공심화,건설환경공학과,,,"건설환경캡스톤디자인은 (주)이노베이트어스와 연계하여 그동안 학부에서 배운 전공 지식과 기타 지식을 통합하여 사회기반시설 유지관리에 대한 창의적인 솔루션을 제공하는 것을 목표로 한다. [통합 개요] 건설환경플랜트공학과 학생들이 스스로 졸업작품을 기획, 설계, 제작, 시험, 평가하는 일련의 과정을 수행하고 체험하게 함으로써 학생들에게 공학적 창의성에 대한 중요성을 인식시키고 장래 국가산업발전의 핵심기술역량을 가진 창의적 엔지니어를 양성하는 특성화된 프로그램이다.
 [통합 개요] 건설환경플랜트공학전공 학생들이 스스로 졸업작품을 기획, 설계, 제작, 시험, 평가하는 일련의 과정을 수행하고 체험하게 함으로써 학생들에게 공학적 창의성에 대한 중요성을 인식시키고 장래 국가산업발전의 핵심기술역량을 가진 창의적 엔지니어를 양성하는 특성화된 프로그램이다. 학부생들은 본 교과목을 통하여, 학부과정에서 배운 전공이론을 바탕으로 팀별로 하나의 작품을 기획, 설계, 제작하는 전체과정을 경험할 수 있으며 이를 통해 전공이론에 대한 이해를 넓히고 팀웍, 문제해결능력, 실무능력을 배양할 수 있다.
"
건설환경캡스톤디자인2(종합),4.0,전공심화,건설환경공학과,건설환경캡스톤디자인1,,"건설환경캡스톤디자인은 분야별 담당교수의 지도아래 팀별로 창의적인 졸업작품의 기획, 설계, 제작, 시험평가를 수행한다. 또한 분야별 외부전문가 초빙강연을 병행한다. [통합 개요] 건설환경공학전공 학생들이 스스로 졸업작품을 기획, 설계, 제작, 시험, 평가하는 일련의 과정을 수행하고 체험하게 함으로써 학생들에게 공학적 창의성에 대한 중요성을 인식시키고 장래 국가산업발전의 핵심기술역량을 가진 창의적 엔지니어를 양성하는 특성화된 프로그램이다. 학부생들은 본 교과목을 통하여, 학부과정에서 배운 전공이론을 바탕으로 팀별로 하나의 작품을 기획, 설계, 제작하는 전체과정을 경험할 수 있으며 이를 통해 전공이론에 대한 이해를 넓히고 팀웍, 문제해결능력, 실무능력을 배양할 수 있다. 또한, 관련 산업체(㈜지티엔)와 연계하여 작품설계 및 제작을 협업하여, 학생들의 실무능력 배양을 도모한다. [통합 개요] 건설환경플랜트공학과 학생들이 스스로 졸업작품을 기획, 설계, 제작, 시험, 평가하는 일련의 과정을 수행하고 체험하게 함으로써 학생들에게 공학적 창의성에 대한 중요성을 인식시키고 장래 국가산업발전의 핵심기술역량을 가진 창의적 엔지니어를 양성하는 특성화된 프로그램이다. 학부생들은 본 교과목을 통하여, 학부과정에서 배우누 전공이론을 바탕으로 팀별로 하나의 작품을 기획, 설계, 제작하는 전체과정을 경험할 수 있으며 이를 통해 전공이론에 대한 이해를 넓히고 팀웍, 문제해결능력, 실무능력을 배양할 수 있다. [통합 개요] 건설환경공학전공 학생들이 스스로 졸업작품을 기획, 설계, 제작, 시험, 평가하는 일련의 과정을 수행하고 체험하게함으로써 학생들에게 공학적 창의성에 대한 중요성을 인식시키고 장래 국가산업발전의 핵심기술역량을 가진 창의적 엔지니어를 양성하는 특성화된 프로그램이다. [통합 개요] 건설환경캡스톤디자인은 분야별 담당교수의 지도아래 팀별로 창의적인 졸업작품의 기획, 설계, 제작, 시험평가를 수행한다. [통합 개요] 대학원 연구실에서 이루어지고 있는 실제 연구활동에 참여함으로써 연구주제에 대해 심도 깊은 이해를 도우며, 연구역량을 높여 진로 설정에 도움을 준다. 2023-2학기와 2024-1학기동안에는 (주)이엔지소프트가 연계 기관으로 참여하여 산업체 연계 캡스톤 디자인을 진행한다. [통합 개요] 건설환경캡스톤디자인2에서는 건설환경캡스톤디자인1에서 발굴한 환경분야 이슈와 해당 이슈에 대해 설계한 공학적 해결방안(수립된 가설)의 실험적 검증을 실시한다. 수립 가설을 검증할 수 있는 실험을 설계(문헌연구를 바탕으로 한 구체적 실험조건의 수립, 실험 기자재 준비) 및 수행하고, 도출된 결과를 합리적으로 해석하는 연습을 통해 건설환경분야 문제해결 능력을 배양한다."
건축CAD,2.0,전공핵심,건축공학전공,,,"건축가들은 기술을 근거로 공간의 지향점을 표현하였다. 특히나 현대에 이르러선 디지털 테크놀러지가 건축공간에 많은 영향을 미치고 있으며 이미 세계화된 건축시장을 고려할때 건축 캐드의 사용은 필수 불가결해 보인다.
본 교과목은 건축가 혹은 건축물 사용자에게 디지털 테크놀러지 발전에 따른 형태, 기능을 포함한 미학적 표현을 가능하게 하는 건축캐드 사용의 이론적 실무적 저변을 제공하고자 함에 있다."
건축개론,1.0,전공기초,건축공학전공,,,"건축개론은 2개 그룹으로 반을 나누어 중간시험을 전후로 하여 건축학, 건축공학을 각각 8주씩 강의합니다. 학생들이 건축학과 건축공학을 모두 배울 수 있도록 합니다. 
건축학은 건축의 가장 기본적인 요소인 기능, 구축, 형태, 공간, 도시에 대하여 주별로 설명하고 이를 직접 표현해 봄으로 건축에 대한 기본적인 지식을 배웁니다.  
건축공학과의 전문과목 담당교수들이 건축공학의 여러 분야에 관한 강의와 상호 연관성을 윤강으로 학생들에게 건축에 관한 이해를 할 수 있도록 이끕니다.																		
 [통합 개요] 건축학 개론은 2개 그룹으로 반을 나누어 중간시험을 전후로 하여 건축학, 건축공학을 각각 8주씩 강의합니다. 학생들이 건축학과 건축공학을 모두 배울 수 있도록 합니다. 
건축학은 건축의 가장 기본적인 요소인 기능, 구축, 형태, 공간, 도시에 대하여 주별로 설명하고 이를 직접 표현해 봄으로 건축에 대한 기본적인 지식을 배웁니다.  
건축공학과의 전문과목 담당교수들이 건축의 여러분야에 관한 강의와 상호 연관성을 윤강으로 학생들에게 건축에 관한 이해를 할 수 있도록 이끈다. 
"
건축계획및이론,1.0,전공핵심,건축IT융합전공,,,"건축을 계획하는데 필요한 가장 기본적인 기능, 구축, 공간, 형태, 도시에 대하여 강의하고 이를 작은 프로젝트를 통하여 연습해 봅니다. "
건축공학개론,1.0,전공핵심,건축IT융합전공,,,"설계, 시공, 재료, 구조 등 건설 프로젝트 전과정의 기초가 되는 지식들을 학습함. [통합 개요] 본 교과목에서는 건축분야에서 지속가능건축융합전공자로서 알아야하는 기본 지식을 강론함"
건축공학설계,2.0,전공기초,건축공학전공,,,"-건축설계에 관계하는 기본적인 지식을 습득한다. 주거 건물을 기본 도면에서부터 시공도면까지 이해한다.
-현대건축설계에서 가장 중요한요소인 친환경건축의 개념 및 필요한요소 기술스터디 및 사례연구등을 통하여 친환경건축의 전반적 이해도를 높힘과 동시에 설계에 적용할 수 있는 능력을 키운다.
-설계프로세스를 진행함으로써 현안의 문제에 대한 건축공학적 대안의 마련 및 문제 해결방안의 독창성 및 현실성을 추구하도록 한다.
-과제 및 발표를 통하여 결과물 완성도 및 발표(의사전달능력)등 일련의 과정을 효과적으로 전달 /발표할 수있는 능력을 함양한다.
-건축의 다양한 분야에서 쓰이는 도면을 읽고 해석하는 능력을 배양한다."
건축공학전공연구실심화실습1,3.0,전공심화,건축공학전공,,,건물 에너지 및 환경/설비 전공과 관련된 연구 및 프로젝트에 참여하여 실습할 수 있습니다. [통합 개요] 연구실에서 교수와 대학원생 학부생 토론 수업
건축공학전공연구실심화실습2,3.0,전공심화,건축공학전공,,,건축공학 재료 및 시공 관련 연구주제를 정하고 실험 및 해석을 통하여 결과 보고서를 작성
건축공학전공연구실심화실습3,4.0,전공심화,건축공학전공,,,건축문제를 해결하기 위한 건축재료 및 시공분야의 연구주제 선정 및 해결과정 모색 [통합 개요] 본 교과목은 학생들이 건축공학 교수의 연구실에서 현장실습을 수행하여 건축공학 연구의 실무적 경험을 습득하는 과정입니다.
건축공학전공연구실심화실습4,4.0,전공심화,건축공학전공,,,건축재료 시공 관련 졸업 논문 실험 수행
