학수번호,교과목이름,학점,이수구분,학년,학기,설강학과,학과ID
GEN9313,BigQuestion:탐구의시작,2,교양필수,1,1,LIONS자율전공학부(자연계열),102
LIS1001,전공탐색과설계1,2,전공기초,1,1,LIONS자율전공학부(자연계열),102
CLU7124,AI리터러시,2,전공기초,1,1,LIONS자율전공학부(자연계열),102
LIS1005,성장과발달의심리적이해,2,전공핵심,1,1,LIONS자율전공학부(자연계열),102
GEN2053,미분적분학2,3,전공기초,1,2,LIONS자율전공학부(자연계열),102
GEN0069,일반화학2,3,전공기초,1,2,LIONS자율전공학부(자연계열),102
GEN0071,일반화학실험2,1,전공기초,1,2,LIONS자율전공학부(자연계열),102
GEN0064,일반물리학2,3,전공기초,1,2,LIONS자율전공학부(자연계열),102
GEN0067,일반물리학실험2,1,전공기초,1,2,LIONS자율전공학부(자연계열),102
LIS1003,LIONS혁신적질문과탐구,2,전공기초,1,2,LIONS자율전공학부(자연계열),102
LIS1004,LIONS융합프로젝트,2,전공핵심,1,2,LIONS자율전공학부(자연계열),102
LIS1002,전공탐색과설계2,1,전공기초,1,2,LIONS자율전공학부(자연계열),102
CUL7135,파이썬과데이터분석,3,교양필수,1,2,LIONS자율전공학부(자연계열),102
CUL2100,아카데믹글쓰기,2,교양필수,1,1,광고홍보학과,600
APR1004,커뮤니케이션론,3,전공기초,1,1,광고홍보학과,600
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,광고홍보학과,600
CUL7135,파이썬과데이터분석,3,교양필수,1,2,광고홍보학과,600
APR1038,크리에이티브디자인,3,전공기초,1,2,광고홍보학과,600
APR1037,전략적커뮤니케이션,3,전공기초,1,2,광고홍보학과,600
CUL7125,ESG와SDGs이해,2,교양필수,1,2,광고홍보학과,600
APR2014,홍보원론,3,전공기초,1,2,광고홍보학과,600
GEN3065,컴퓨터그래픽응용,2,전공핵심,1,2,광고홍보학과,600
APR2013,광고원론,3,전공기초,1,2,광고홍보학과,600
CLU7124,AI리터러시,2,교양필수,1,1,보험계리학과,502
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,보험계리학과,502
GEN0059,경제원론1,3,전공핵심,1,1,보험계리학과,502
ACT1005,미적분학1,3,전공기초,1,1,보험계리학과,502
ACT1004,통계프로그래밍,3,전공기초,1,1,보험계리학과,502
CUL7125,ESG와SDGs이해,2,교양필수,1,2,보험계리학과,502
GEN0060,경제원론2,3,전공핵심,1,2,보험계리학과,502
ACT1003,계리프로그래밍,3,전공기초,1,2,보험계리학과,502
ACT1006,미적분학2,3,전공기초,1,2,보험계리학과,502
ACT1007,보험원론,3,전공핵심,1,2,보험계리학과,502
CUL7135,파이썬과데이터분석,3,교양필수,1,2,보험계리학과,502
BUS1010,회계정보의이해,3,전공기초,1,2,보험계리학과,502
